scenario,participants,turns
"Planning a trade show exhibit,Marketing company","Christopher, William, Benjamin",15
"Filing a claim for a personal injury.,Insurance company","Ryan, Nicholas",8
"Developing drug pricing strategies,Pharmaceutical company","Emily, Dylan, Ryan, Amber",12
"Discussing cost reduction strategies,Manufacturing company","Nicholas, Taylor, Ryan",18
"Interviewing potential new hires,AI first Software company","Caleb, Lauren, Ethan, Caleb",12
"Discussing project risks and mitigation strategies.,Construstion company","Stephanie, Ryan, William, Anthony, Jacob",15
"Discussing clinical trial results,Pharmaceutical company","Andrew, Lauren, Megan, Kayla, Justin",20
"Discussing investment options,Bank.","Jacob, Kayla, Elizabeth",12
"Learning about autonomous cars,Car company","Jacob, Nicole, Olivia, Justin",16
"Reviewing the terms of a property management contract.,Real Estate company","Samantha, Christopher, Brandon, Megan, Olivia",25
"Discussing the purchase of a property for a school.,Real Estate company","Samantha, Alexandra, Joshua, Olivia",20
"Updating personal information,Bank.","Brandon, Jessica, Zachary",18
"Training session on new software updates,AI first Software company","Benjamin, Nicholas",8
"Discussing production targets for the month,Manufacturing company","Dylan, Rachel",8
"Negotiating the sale of a luxury home.,Real Estate company","Lauren, William, Christopher",12
"Reviewing customer feedback on current products,AI first Software company","Andrew, Christopher, Ryan",12
"Discussing equipment maintenance and repairs.,Construstion company","Justin, Brianna, Zachary, Christopher, Olivia",25
"Discussing marketing strategies for upcoming product launch,AI first Software company","Matthew, Taylor",10
"Planning company-wide training on diversity and inclusion,AI first Software company","Ethan, John, Tyler",18
"Transferring funds between accounts,Bank.","Jenna, William",8
"Designing a cozy guest room for a bed and breakfast,Interior Designing","Stephanie, Ryan, Taylor, Sarah, Lauren",20
"Updating coverage for a new business location,Insurance company","Ashley, Nicholas, Zachary, Jenna",20
"Reviewing drug reimbursement policies,Pharmaceutical company","Ethan, Nicole, Christopher, Victoria",24
"Reviewing customer feedback,Marketing company","Jacob, Daniel, Amber, Kevin",20
"Analyzing market trends,Manufacturing company","Megan, Christopher",6
"Choosing furniture for a boutique hotel room,Interior Designing","Kayla, Rachel, Emily, Alyssa",20
"Designing a themed playroom for children,Interior Designing","Samantha, Justin",12
"Conducting a safety drill.,Construstion company","Anthony, Hannah, Emily, Kevin",24
"Discussing potential acquisition of smaller tech companies,AI first Software company","Lauren, Kevin",12
"Evaluating supplier performance,Manufacturing company","Andrew, William, Jordan, Christopher",24
"Discussing the purchase of a property for a religious organization.,Real Estate company","William, Amber, Caleb, Alexandra",20
"Planning a plant expansion,Manufacturing company","Rachel, Kayla, Amber",15
"Lunch and learn session on AI and machine learning,IT company","Andrew, Julia, Kayla",9
"Evaluating potential partnerships,Pharmaceutical company","Ethan, Andrew",10
"Opening a new account,Bank.","Andrew, Julia, Christopher",15
"Brainstorming session for new AI product ideas,AI first Software company","Joshua, Jenna, William, Nicholas",16
"Planning a carpool for school,Car company","Lauren, Amber, Ryan, Madison",24
"Discussing long-term care insurance options,Insurance company","Taylor, Tyler",8
"Reporting a lost or stolen card,Bank.","Zachary, Christopher",8
"Discussing project management software and tools.,Construstion company","Dylan, Stephanie, Rachel",15
"IT budget planning meeting,IT company","Elizabeth, Megan, William",15
